time,chain,addr,pair,sym,src,price,liq,vol1,vol6,vol24,fdv,age_h,b1,s1,b24,s24,h1,h6,h24,boosts
2026-09-26 14:14,solana,9EwEYhqzRHmE87ypWKUU1zZKP8uMeGdunmJ4etTmpump,6BP57xemygynet3rh9zJLQ6Fig7hRMtNBGkUJDdPsCKx,JEANWORK,dexscreener,2.762e-06,3281.69,0.37,0.4,2687245.36,2727.0,21.60903111111111,1,1,31925,17937,0.0029,-0.0076,-0.9725,100.0
2026-09-26 14:14,solana,bGpXrniA1kzqubTCCexxR4Zh4Hrx8eoYY1Sqtt3pump,GVndqmxuj9MPE8pBCzZxkkogEgt5zPSsjEFiZ8A8pVzx,SJP,dexscreener,0.0005437,70917.56,129332.31,632179.16,1745762.31,535666.0,16.061531111111112,3169,1611,31002,18087,-0.1583,0.9492,5.78,100.0
2026-09-26 14:14,solana,CmTFnmtW19nCEz5QGmV7ojqhVKaXJVsPwR6t4QvCGiBd,DtN6LWpZy4dsiyMEN1on3xUrUr2pbEm9ELsX71r8qz3y,POOCOIN,dexscreener,2.618e-06,4783.45,0.0,203.0,33444.29,2618.0,24.288475555555557,0,0,18029,15223,,-0.0421,-0.9709,100.0
2026-09-26 14:14,solana,4G5YDqDvwgwSS3nLPDGDpGuetbG7rZYzNSBb1U4Tqbzi,RbHYPnS9j1WYBsSsvorm9NXt8hLvsDV3YECZwGMV68T,ARENA,dexscreener,0.0005743,71325.97,4525.2,28398.0,716764.8,569673.0,39.48819777777778,251,77,17651,6285,-0.018000000000000002,-0.0694,0.34340000000000004,100.0
2026-09-26 14:14,solana,EFv1JzU84iHk8j6EkdBmd9ACgoV77GUhh2xJqNdFpump,3kSeomZ3FTSnqNEgWyMpzFHWcVMR4Y6n8nSh5vKc6cV1,MEMECARDS,dexscreener,4.934e-06,4662.31,206.28,441199.37,509762.42,4759.0,7.616531111111111,2,21,3892,12042,-0.08800000000000001,-0.9706999999999999,-0.9161,100.0
2026-09-26 14:14,solana,4z74i8Jo5zTWkFyyrx5zuusLasgKu6JtREVKgKVSpump,44obhZbyu91musQgph9NkxrugqBcULP3rWK2SD4uXgGz,JEANTRUMP,dexscreener,2.727e-06,2823.36,0.0,6.3,470777.43,2643.0,16.64430888888889,0,0,7796,4972,,0.0070999999999999995,-0.9451999999999999,100.0
2026-09-26 14:14,solana,9A3JE3hGaKT2V6NpktZXXu2ecxTzzWWrxjPnuhY4pump,FYczpJ4BYDoQiK2AQ6r8ZffXa1ksQQ2ZoVsyLtsNASxr,BINK,dexscreener,2.505e-06,2576.63,0.0,0.48,275108.24,2436.0,8.827086666666666,0,0,6572,4557,,-0.0009,-0.9601000000000001,100.0
2026-09-26 14:14,solana,Erw6ZdK8pRpUWrvTo8maRLuDesHiqJgxnHxHLKjupump,ARf2wkJ2c3s7R4HVxHrVEMGWDuBuTFGETV8pXR9eN1yH,STAN,dexscreener,3.655e-06,3780.18,2.38,41.2,944392.93,3513.0,15.658753333333333,0,4,3969,4336,-0.006,-0.0194,-0.9601999999999999,100.0
2026-09-26 14:14,solana,FdqkwEGXhyvZ8huTDDHLQE2ZnTEfTQQ964vEqQhDrWAQ,3gcFdPjJF2ZS6udTywbVhaSx2yaH1HpWqU7LzgKKVAUx,D/ACC,dexscreener,2.623e-05,13153.42,4272.25,41107.39,398563.21,25246.0,12.182364444444444,48,60,3208,2592,0.5024000000000001,-0.4294,-0.4765,100.0
2026-09-26 14:14,solana,CyKDftwgNsifHhno7o2Ypz35238LYK4wrJruWq3Npump,6EL3NruPyUSMqFBSFdqLQ1rDTHok4FKaSt1PX39Vuyef,DOGRILLA,dexscreener,2.147e-05,11546.11,444.68,18556.15,209009.78,20872.0,21.45403111111111,19,15,2736,1732,0.0843,-0.7641,-0.5749,100.0
2026-09-26 14:14,solana,FmXj6NU98jz4pVmfGZyN9DaXWCvM7DqPoQpXbn8LxCs1,5M8utPMuvTiCAiCbD88zfPa23rJBW82vvYRr7NhtoN22,MAXWELL,dexscreener,3.425e-05,0.0,5842.6,26489.24,136793.29,34257.75,19.362086666666666,80,74,1820,1151,-0.0475,0.046900000000000004,8.47,100.0
2026-09-26 14:14,solana,gUrqGnMixkzTkZwqomhiRW9a2UBs3nCt4KK6Wjypump,Jk3vxXW6XFvZLRUU411Fr25MHJRwmmVeojEHPWQa7Z2,MURAD,dexscreener,,0.0,0.0,0.0,0.0,,2.895697777777778,27,19,1284,1098,0.3678,-0.917,-0.917,100.0
2026-09-26 14:14,solana,GZHVA9LL2WUbWnnT88KGCqtEpYeTTLzX59WvLtGpump,6FBLNQTYv3eEXB2BQrqJcAR3wQi2p3RsRCCHBxTnY39E,GGS,dexscreener,2.817e-06,2847.09,0.0,1.44,56790.77,2732.0,19.45542,0,0,287,399,,-0.0016,-0.9525,100.0
2026-09-26 14:14,ethereum,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE,geckoterminal,154.243501391596,11779384.5357,,,12453389.563847,2467895974.09677,41569.188888888886,83,21,425,366,0.00147,0.0020399999999999997,0.04982,
2026-09-26 14:14,ethereum,0x6c5ba91642f10282b576d91922ae6448c9d52f4e,0x8867f20c1c63baccec7617626254a060eeb0e61e,PHA,geckoterminal,0.0819289666605401,321659.244,,,1577289.81487429,81927492.5125626,43476.53472222222,41,39,1689,1500,0.01867,0.06068,0.08961000000000001,
2026-09-26 14:14,ethereum,0x4a220e6096b25eadb88358cb44068a3248254675,0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,QNT,geckoterminal,106.578674766833,592444.7334,,,923768.931399197,4845812593.15171,41567.81805555556,41,58,766,821,0.0191,0.0387,0.14264,
2026-09-26 14:14,ethereum,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,ONDO,geckoterminal,0.548531575791476,1155952.8692,,,1422644.25777497,5485315753.83708,23569.721666666668,34,25,1242,1157,0.00929,0.00842,0.00983,
2026-09-26 14:14,ethereum,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,0x52c77b0cb827afbad022e6d6caf2c44452edbc39,SPX,geckoterminal,0.457900873443643,12852090.9593,,,978954.64292587,426299846.544867,27299.371666666666,9,15,345,385,-0.005180000000000001,0.00471,0.031110000000000002,
2026-09-26 14:14,ethereum,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,NEAR,geckoterminal,4.87145900333153,724690.0522,,,908447.006431641,19112133.4913048,21821.535,22,25,567,567,0.00861,0.0070999999999999995,-0.04444,
2026-09-26 14:14,ethereum,0xc8fb80fcc03f699c70ff0cc08c09106288888888,0xdb4c4d91f12ce76f5c9ac0eae193cf3b4d6684cd5f09bf35d03dd9ae6d8a43b1,CTM,geckoterminal,0.237851657410095,2712271.0246,,,2033320.29370036,70475895.9295241,4297.511666666666,84,81,2205,2203,0.00037,-0.00016,8e-05,
2026-09-26 14:14,ethereum,0x8ed97a637a790be1feff5e888d43629dc05408f6,0x69c7bd26512f52bf6f76fab834140d13dda673ca,NPC,geckoterminal,0.0234537865446229,5414998.3915,,,432215.144378404,188796077.014959,27717.761666666665,11,13,359,206,-0.003,0.04758,0.04929,
2026-09-26 14:14,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,PEPE,geckoterminal,4.39017039263008e-06,31810686.494,,,1439041.90553953,1816531142.83678,30260.888333333332,22,14,438,488,0.005390000000000001,-0.0111,-0.01954,
2026-09-26 14:14,ethereum,0xa0df17b5ac76ababa36e1450e2cbcd18a620c845,0x230ecd3c25b44af30db59c15f70df7794eb13f67a200f230b7400daa96fe804d,FWA,geckoterminal,0.0167734264734421,1037131.8401,,,571983.055217949,16277826.4242138,1724.515,100,100,2321,2565,-0.00332,-0.08151,0.11488,
2026-09-26 14:14,ethereum,0x57e114b691db790c35207b2e685d4a43181e6061,0xc3db44adc1fcdfd5671f555236eae49f4a8eea18,ENA,geckoterminal,0.278801278136463,1514343.3732,,,2011329.48038109,4176870155.26735,21772.778333333332,19,20,696,790,0.00308,0.0070599999999999994,0.12240999999999999,
2026-09-26 14:14,ethereum,0x7def4573628021500c3207994935a51801fb56be,0x9845376f915509168cbfa8d9481f707bd5a7cc760f349a5e7fb7a0dfad465b2b,AKITA,geckoterminal,0.0117177486656127,114676.715,,,65121.0408181305,1177402.973,4584.058333333333,57,44,85,59,-0.22885000000000003,0.08717000000000001,0.10758,
2026-09-26 14:14,ethereum,0x699ccf919c1dfdfa4c374292f42cadc9899bf753,0xdfb2b227315a4b2ad672d257f9ecf11ba6228be0fff008e3bae287b829d0612b,VSN,geckoterminal,0.0438221571204463,3547894.1387,,,144173.082982758,179308292.376539,10489.781666666666,25,72,36,77,-0.01709,-0.03512,-0.01841,
2026-09-26 14:14,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xcf6daab95c476106eca715d48de4b13287ffdeaa,SHIB,geckoterminal,5.91877982160135e-06,3135269.1852,,,207871.408281539,5918382477.39054,41428.44527777778,10,7,116,133,0.00625,0.00292,0.01712,
2026-09-26 14:14,ethereum,0x126f5ece91d971f8ad62fa4fc1054456b8bd1111,0x90a64ed1c47392829a39df15ff25401c21818ea2db9e2538c9c25182f76b7c1e,FUSE,geckoterminal,0.00239778161019554,192001.6302,,,201200.134887736,2295142.21496196,375.22833333333335,31,10,340,227,0.10746,0.24192,0.25296,
2026-09-26 14:14,ethereum,0x57b946008913b82e4df85f501cbaed910e58d26c,0xd18748b9839b0081a867a1a871d5b562b2ec9884,POND,geckoterminal,0.00235351352877314,207532.4887,,,515355.144824954,23535135.2331953,43476.58138888889,54,34,1074,776,0.00534,0.27529,1.51057,
2026-09-26 14:14,ethereum,0xc20059e0317de91738d13af027dfc4a50781b066,0x39f748f252ffff5f2cb755824bd46bd4c0720ffcec1ed128b38a1049a0e70496,SPK,geckoterminal,0.0249240527336686,762080.6988,,,543851.21039605,249240527.294469,11189.751666666667,19,24,370,396,-0.00146,0.020139999999999998,0.10883,
2026-09-26 14:14,ethereum,0xba5bde662c17e2adff1075610382b9b691296350,0xc5e82ff54924a7232a3e91ca252d505f4e4417afa2b6a8507dfb691182cd0b16,RARE,geckoterminal,0.0243641294909866,162898.3516,,,250534.083216587,24364128.2502375,13531.225,56,45,789,778,0.06274,0.13597,0.7902800000000001,
2026-09-26 14:14,ethereum,0x72dfb2e44f59c5ad2bafe84314e5b99a7cd5075e,0xcceef8a17d01e0097bd1ab51687754c86456363b,CIRBTC,geckoterminal,83577.1940323597,25101834.979,,,4195369.11350881,51317931.3434907,252.745,10,65,144,145,-0.0069299999999999995,-0.00039,-0.00026,
2026-09-26 14:17,solana,aqQRs3UJmHs7ktoLo46HZAzvG9P3oCoZ41nENqFbory,H1HkFYy8ga3oYBkxK4hTieZFPBSdh8ot5BsbRjJqj79V,PIE,dexscreener,0.7354,63506.15,67.66,2990.98,27449.43,349336.0,6123.789802777777,0,1,150,101,0.0007000000000000001,-0.0176,-0.2748,10.0
2026-09-26 14:17,ethereum,0x607C794cDa77efB21F8848B7910ecf27451Ae842,0xB94F0DFD1B54Af0Fc8dD0997A8ddDE59bAd47dfE,PIE,dexscreener,0.001724,31839.18,0.0,0.0,35.55,379320.0,53834.36730277778,0,0,0,2,,,0.0006,
2026-09-26 14:17,solana,5LHW9BJ3TnNP3GuzFtFz7imEwi9ZqQt3tsuNj4UBpump,GLwCLwKgConEJnwakCbMGAhaBJ3xQAfBjtcLTRccFCio,PIE,dexscreener,3.112e-06,6140.49,0.0,0.0,0.41,3112.0,3281.086747222222,0,0,1,1,,,-0.0003,
2026-09-26 14:17,solana,4GsM83gnueZBwAAZNhtdtzzWbKqA8k7Li5yTP4Vtbonk,58ub6F1w8eKGNsYVgTPdozJgLjHumQW6EeqYBtd96QTY,PIE,dexscreener,3.858e-06,7643.12,0.0,0.0,0.63,3858.0,4534.609247222223,0,0,0,1,,,,
2026-09-26 14:17,solana,8HtBFDsLxgCmVbnAbjgUsjGEjDd2RfJdrRU4iWypjFvX,3ZWUm1hkdEqJ1VWqShsEHHaWZGVfa8zxPHjcfXgzB7MR,PIE,dexscreener,4.16e-06,0.0,0.0,188.78,188.78,4160.65,47.77285833333333,0,0,1,1,,-0.040999999999999995,-0.040999999999999995,
2026-09-26 14:17,solana,9MYBpLhpp23weARAdzByg1HS2ux9r3rW6UxZjggY5p8u,2fpa1FT1tbAjA6SU1kLbRovTFDhL47BTac8DFV7WWaV6,PIE,dexscreener,4.287e-06,0.0,0.0,0.0,188.69,4287.28,47.77258055555556,0,0,1,1,,,-0.0398,
2026-09-26 14:17,solana,HzNfZTAH4gXGsMZSPtKHB6L4DPurX5ucwbdfoBdTB5bK,DEUZPsNcH27pmAhFtcUmfQBcBuWVzrNy4bULhq5aMeJe,PIE,dexscreener,4.255e-06,0.0,0.0,0.0,187.99,4255.69,47.767025,0,0,1,1,,,-0.046900000000000004,
2026-09-26 14:17,solana,HRZd3uNmMY5kT4yTpBSZWK7KwBuuiZPR5Mokojs2k8s6,9vi2mfKDcErtUjs3f2dAiKFoag9gcqchb24uGGZoVSFa,PIE,dexscreener,5.408e-06,0.0,0.0,0.0,47.23,5408.07,47.767025,0,0,1,1,,,-0.009000000000000001,
2026-09-26 14:19,solana,GY9mZfyPpxXxBXBxS2hB2XjhP3kfUsywTvgveozxpump,6tuhHpYSinf41V39KW3JmpVUaxehcabCbHZqqFnwR6xf,ELON,geckoterminal,0.0044670320626291485,311216.9374,,,7023574.29772795,4145753.11241183,258.8883333333333,281,377,20976,18481,0.09122,-0.14696,5.8187,
2026-09-26 14:19,solana,FPVy8zJvHsf3ZdLoNokQVzYLrkcoQ6LMTZ7riJNWpump,GQEgxvgSE9Rc2WaYyZpXG61o2qVXkY5crqbBAWaQAmLk,S/ACC,dexscreener,3.547e-05,0.0,96637.6,96637.6,96637.6,35477.5,0.21388888888888888,586,748,586,748,9.42,9.42,9.42,500.0
2026-09-26 14:19,ethereum,0x8b1484d57abbe239bb280661377363b03c89caea,0x41a561b972039a9ccb975a4c17b84c9f95099e15,ADI,geckoterminal,8.21964911778813,3002602.8267,,,472498.35884701,8210967500.68903,6742.078963611111,28,27,764,641,-0.00159,-4e-05,-0.005639999999999999,
2026-09-26 14:24,solana,6hzyHMwR1S2wAbPfDjTcQtM5fTq4XZBWFTRSdTsvZ2DH,4TcaXZVY5o6DE31v9GBgw9qneFg1Ud7nRsJUF1kRPyaQ,TINYCAT,geckoterminal,3.4740132602689763e-05,15173.4174,,,366965.865540113,34296.5907,1.0001691666666668,4007,2667,4180,2775,-0.52119,-0.3208,-0.3208,
2026-09-26 14:24,ethereum,0x041ff0e49f6f774e7dc7bd10ee4a14c00b1d80b2,0xcf14dfcf39de6849af062d611c2f4395a5558b63,ASE,geckoterminal,0.00204976333476183,199972.2875,,,16675.5151208938,2049763.335,3330.2725,1,0,60,22,0.0,-0.00374,0.05799000000000001,
2026-09-26 14:27,solana,6YCYaiuXQubALutWr1eJB8HZ9i72hpTKgAvjR6qzpump,BvNxg5HN5xLvdswPxt8WryMtw6kE7HEwngv1vD7MZQPs,CATE,dexscreener,0.0001375,43451.95,17.47,330.12,8328.3,129920.0,1430.4942505555555,2,2,54,51,-0.013300000000000001,-0.0278,0.13119999999999998,
2026-09-26 14:27,solana,89x86Bx9rLGgrchyHw3S3avmykVKUEVsy2o9rrA1wYkP,DRCfuNJX4eRG683ZktmuYkzSVUa2NdVk334U5rc2g1UT,CATE,dexscreener,0.07396,73764169.6,41531.88,83794.22,249368.09,73964519.0,767.2584172222222,1,1,10,10,,,,
